0	34.8	47.8	50.1	59.9	70.7	80
1	39.7	45.8	49.6	59.2	72.8	81
2	34.1	46.7	49.5	57.9	70.7	79.3
3	38	45.6	50.4	61.1	70.3	80.2
4	37	46.8	49.6	58.6	70.8	77.6
5	38.5	46.1	51.2	48	70.9	80.4
6	35.6	45	50.2	58.9	71.1	78.1
7	36.9	45	47.9	58.9	72.1	80
8	36.5	48.7	49.3	59.7	72.2	77.5
9	36.9	44.3	50.6	59.3	72.2	80
10	36.8	47.2	55.4	58	72.3	79.8
11	34.6	47	49.8	59.3	69.3	84.1
12	37.1	47.1	51.6	58.6	72.8	77.9
13	33.5	45.7	53.3	67.5	72.6	81.2
14	37	45.8	49.4	63	73.8	79.9
15	39.1	46.8	49.9	57.5	75.7	79.7
16	38.4	44.4	51.4	58.9	73.2	79.7
17	36.3	45.7	51.3	56.5	74.4	78.7
18	39.3	42.1	53	58.9	73.7	79.3
19	38.2	48.4	52.4	59	73.9	78.8
20	37.1	45	49.3	57.7	73.7	80.1
21	37.1	46.1	51.4	60	73.5	79.7
22	38.1	46.5	53.6	60.5	73.5	81.2
23	38.8	47.2	54.1	66.3	72.3	80.8
24	37.6	47	52.3	52	75	80.8
25	37	47.5	52.6	57.9	74.7	78
26	40.8	44.7	51.7	60.9	75.2	81.2
27	36.3	47.9	52.5	56.5	74.6	82.4
28	37.9	46.2	53.7	61.6	76.5	81.7
29	38	47.8	58	61.5	72	83.4
30	39.2	49.2	53	64.1	75.6	82.3
31	39.3	50.7	53.8	62	75.6	81.9
32	36.9	49.3	53.1	58.8	74.1	83.2
33	41.9	50	52.4	62.4	76.9	82
34	40.6	48.4	54.3	62.7	76.2	82.3
35	37.7	49.3	57.7	63.8	76.8	83.3
36	39.3	48.1	55.4	63.2	76.4	84
37	41.4	49.7	54.6	63.7	76.4	84.2
38	39.9	47.5	57.3	63.1	76.1	82.7
39	37.8	50.5	53.2	63.4	76.9	83.2
40	39.7	49.4	56.3	64.3	77.5	79.4
41	41.3	48.9	55	64.1	76.6	85.2
42	42.9	49.3	60	64.3	76.9	83.4
43	42.6	50.6	56.8	64.8	77.5	84.4
44	39.5	49.1	56.1	64.3	81.5	83.3
45	43.2	49.9	58.6	64.7	78.1	84
46	39.9	49.4	58.1	63.4	78.1	83.7
47	42.5	52.8	58.7	64.9	78.2	84.5
48	41.2	47.9	58.8	65.9	78.3	83.2
49	42.5	51.1	58.4	66.4	78.2	83.9
50	42.3	51.6	58.9	67	78.9	83.9
51	40.5	50.7	56.2	66	78.9	85.3
52	40.4	51.3	60.8	67	78.9	84.7
53	43	52.3	58.3	66.5	77.8	86.1
54	41.4	51.1	61.6	66.6	79.1	85
55	40.5	52.2	60.2	66.3	74.5	86.4
56	42.1	52.4	61.1	65.5	77	85.8
57	40.7	50.5	57.9	66.7	78.4	85.3
58	42.9	50.7	55.9	67.2	81.3	86
59	42	53.2	60	67.7	78.7	86.9
60	42.7	53.5	59.6	68	74.9	89.2
61	42.3	53.6	57.3	67.7	78.8	87.4
62	42.1	51.6	59.2	68.4	80.2	86.8
63	42.3	51	58.7	69.1	80.3	85.7
64	43.2	51.4	59.6	68.5	80.6	85.9
65	45.2	50.3	59.6	69	78.6	87.2
66	43.1	50.7	56.9	68.3	81	86.6
67	40.1	52.5	60.4	68.9	80.3	87.9
68	41.6	51.9	59	70.2	81.1	85.1
69	42.4	54	61.5	69.3	83	87.7
70	43.3	52.5	58.8	69.9	81.8	87.3
71	42.8	51.2	59.7	69.8	82	86.9
72	39.3	50.1	59.2	69.2	82.1	87.1
73	42.4	50.1	60.7	69.9	80.9	87.4
74	43.3	52.3	59.4	70.4	84	86
75	44.1	53.4	62.9	69.6	81.1	84.5
76	43.4	52.1	60.9	69.6	82.2	88.4
77	40	55.7	60.9	70.6	81.5	88
78	46	51.9	58.3	71	80.1	89.4
79	45.1	53.3	59.5	71.1	83.6	88.6
80	41.7	54.8	60.9	71.2	82.2	88.8
81	41.6	53.3	60.4	71.3	83	92.7
82	42.6	51.1	62.1	71.8	79.8	90.7
83	43.9	54	62.7	72.7	81.4	89
84	40.6	54.1	63.1	71.6	81.9	88.2
85	43.9	49.8	62	71.8	81.8	91.9
86	43.1	53.7	63.2	72	79.8	88.5
87	43.1	52.5	60.3	72.2	84.1	90.1
88	41.7	51	61	73.4	84.2	89.2
89	42.1	52.5	61.5	71.9	84.1	89.1
90	45	51.3	60.5	72.4	81.4	89.4
91	44.4	55.1	62.4	72.3	81.7	88.5
92	44.3	51	62.2	71.5	82.3	90.8
93	42.4	50.6	58.3	72	82.2	88.5
94	45.5	51.4	63.6	72.9	82.1	95.5
95	41.9	53.6	65.1	72.2	81.1	87.2
96	41.5	53.3	61.4	72.4	81.8	84.2
97	41.4	53	62.4	72.7	79.5	90.8
98	42.1	53.8	60.9	72.5	81.3	91.2
99	44.3	53.2	60.8	73	81.7	90.8
100	44.8	51.4	61	72.9	79.8	93
101	40.6	54	61.9	72.8	80.6	90.9
102	43.3	52.5	62.5	73.1	80.5	91.8
103	44.4	54.7	62.9	72.9	80.6	90.9
104	41.8	53.7	62.1	73.2	80.8	87.4
105	42.2	51	61	72.9	80.1	90.9
106	43.3	51.5	62.5	72.8	77.3	90.7
107	42	52.8	62.6	72.5	81.2	90.1
108	42.8	53.1	59	72.8	79.9	91.4
109	43.4	52.6	62.9	72.5	80.1	94.6
110	42.3	49.4	62.1	71.2	82.7	92.4
111	43.2	52.1	62.1	72.1	78.4	94.9
112	40.8	53.7	60.2	71.6	79.9	92.9
113	42.1	51.3	62	72.2	78.1	89.8
114	41.2	52	62.6	71.9	78.7	94.9
115	44.3	54.8	60.3	72.2	79	88.2
116	44	51.4	61.5	72.2	79.2	89.7
117	44.5	49.8	64.1	72.2	79.7	89.7
118	41.9	51.1	63.1	71.8	79.2	90.4
119	44.3	52.4	60.3	72.3	80.6	88.5
120	45.9	53.7	63.1	71.3	80.2	87.2
121	43.5	52.1	60.8	71.4	79.6	92.3
122	39.6	54.6	60.9	71.6	79.5	91.8
123	42.9	53.9	59.6	72.2	78.3	90
124	43.5	51.3	63.8	71.6	78.4	89.1
125	42.4	50.5	61	71.7	78.6	89.3
126	42.4	53.2	61.3	71.3	79.8	90.7
127	42.1	53.3	61.9	72	79.5	91.1
128	43.6	52.5	61.1	71.6	80.6	91.3
129	42.6	53	59.8	71.3	77.6	90.5
130	43.3	53.2	62.3	71.6	79.5	92.4
131	39.8	51.7	62	71.1	79.8	89.1
132	42.8	51.4	61.5	71.3	78.8	88.9
133	44.6	51.3	60.6	70.9	84.3	90.3
134	45.3	53.4	61.4	71.3	80.1	90.5
135	43.1	49.7	57.9	70.7	79.5	89.7
136	44.8	51.3	59.8	71.2	81.2	85.8
137	43.6	52.3	63.2	70.5	79.4	89.3
138	42.1	50.9	61.3	71.1	79.7	90.1
139	41.6	49.9	63.4	70.9	79	91.5
140	42.8	52.3	59.5	70.9	80.7	89.9
141	43.3	52.5	60.3	71.5	80.4	90.6
142	42.2	51	61.1	69.9	80.4	88.3
143	42.6	52.6	61.7	70.7	79.9	86.6
144	42	51.3	59.2	70.6	78.1	88.3
145	43.2	49	62.5	71	80.4	90.4
146	42	49.6	61	70.3	80.2	92.9
147	42.5	51.4	60.3	70.7	80.4	92
148	43.1	48.8	63.2	70.8	80.6	88.5
149	41.9	54.7	58	70.4	82.4	89.9
150	43.8	49.4	61	70.7	81.1	88
151	44.5	52.5	59.1	71.1	78.2	89.4
152	40.9	52.1	61	69.3	81.9	88.6
153	45.4	50.3	58.5	70.3	80.3	87.3
